RESOLUCIÓN Y FECHA,ENTIDAD,INCUMPLIMIENTO,TIPO DE SANCIÓN
"R-CNV-2016-48-AF 
13/12/2016","ADMINISTRADORA DE 
FONDOS DE INVERSIÓN 
BHD, S.A.","▪  Incumplimiento a las Políticas de Inversión, remitidas a esta 
Superintendencia  de  Valores  mediante  el  Reglamento 
Interno y Prospecto de Emisión del Fondo Mutuo Renta Fija 
Nacional-BHD Liquidez, respecto del tipo de instrumento, 
por la realización de operaciones de Suscripción y Rescates 
de Cuotas en las que el fondo administrado por la Sociedad 
Administradora de Fondos de Inversión BHD, S.A., figura 
como  aportante  del  mismo  fondo.  Las  informaciones 
relativas a dichas suscripciones y rescates de cuotas fueron 
remitidas a esta Superintendencia de Valores, a través del 
libro  de  Plantillas  de  Remisión  de  Información  Diaria 
correspondiente al cierre de fecha 26 de agosto del 2015.","Sanción Cuantitativa 
RD$50,000.00"
"R-SIV-2016-60-AF-S 
10/08/2016","ADMINISTRADORA DE 
FONDOS DE INVERSIÓN 
BHD, S.A.","▪  Incumplimiento  al  Procedimiento  de  Rescate  de  Cuotas 
remitido a esta Superintendencia de Valores mediante el 
Reglamento  Interno  y  Prospecto  de  Emisión  del  Fondo 
Mutuo  Renta  Fija  Nacional-BHD  Liquidez,  por  la 
realización de operaciones de Rescate de Cuotas en fecha 
veinticinco (25) de enero del año dos mil dieciséis (2016), 
fuera de horario y día no hábil para la realización de esta","Sanción Cuantitativa 
RD$50,000.00"
"R-SIV-2017-32-AF-R 
25/08/2017","ADMINISTRADORA DE 
FONDOS DE INVERSIÓN 
BHD, S.A.","▪  No disponía de una persona física designada que ejerza las 
funciones  de  Ejecutivo  de  Control  Interno,  conforme  es 
requerido por la normativa vigente del Mercado de Valores.","Sanción Cuantitativa 
RD$75,000.00"
"R-SIV-2017-51-AF-R 
08/11/17","ADMINISTRADORA DE 
FONDOS DE INVERSIÓN 
BHD, S.A.","▪  Remisión Inexacta de la hoja de “Valoración Diaria de la 
Cuota”  remitida  a  esta  Superintendencia  mediante  la 
Plantilla de Remisión de Información Diaria de fecha ocho 
(8)  de  junio  de  dos  mil  dieciséis  (2016),  por  haber 
incumplido el procedimiento para el cálculo de comisiones 
por  administración  de  fondos  establecido  mediante 
Reglamento Interno y Prospecto de Emisión del “Fondo 
Mutuo Renta Fija-BHD Plazo 30 Días”, por utilizar como 
base del cálculo el valor de “Patrimonio neto pre-cierre 
incluyendo las suscripciones y rescates del día (t)” debiendo 
utilizar el valor de “Patrimonio neto pre-cierre excluyendo 
las suscripciones y rescates del día (t)”.","Sanción Cuantitativa 
RD$75,000.00"
"R-SIV-2018-26-AF-S 
11/07/18","ADMINISTRADORA DE 
FONDOS DE INVERSIÓN 
BHD, S.A.","▪  Incumplimiento del artículo 2 del Reglamento Interno y 
artículo 2.3 del Prospecto de Emisión, relativos al objetivo 
y  políticas  de  inversión  del  Fondo  Mutuo  Renta  Fija 
Nacional – BHD Liquidez (SIVFIC-003), aprobados por la 
Superintendencia del Mercado de Valores, en fecha trece 
(13) del mes de julio del año dos mil quince (2015), por 
verificarse en el reporte de transacciones originado a través 
del  sistema  de  CEVALDOM,  Depósito  Centralizado  de 
Valores, S.A., la realización de la operación No. 461698 de 
fecha veintiocho (28) de noviembre de dos mil diecisiete 
(2017), en el mercado secundario extrabursátil, Over The 
Counter (OTC), por cuenta del fondo precitado.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2017-38-AF-R 
09/09/2017","ADMINISTRADORA DE 
FONDOS DE INVERSIÓN 
POPULAR, S.A.","▪  No registrar el gasto diario de “citación y organización de 
asamblea” de los Fondos de Inversión Cerrado Renta Fija 
Capitalizable  Popular  y  Renta  Fija  Pago  Recurrente 
Popular,  no  obstante  estar  contemplado  como  un  gasto","Sanción Cuantitativa 
RD$150,000.00"
"R-SIV-2017-30-AF-R 
21/08/17","ADMINISTRADORA DE 
FONDOS DE INVERSÓN 
UNIVERSAL, S.A.","▪  No notificación a la Superintendencia del incremento de la 
comisión de la sociedad administradora dentro del rango 
establecido, con anticipación de veinte (20) días antes de su 
entrada en vigencia; y  
▪  No notificación a la Superintendencia como hecho relevante 
del  incremento  de  la  comisión  de  la  sociedad 
administradora.","Sanción Cuantitativa 
RD$50,000.00"
"R-CNV-2017-40-IV 
2/11/17","ADMINISTRADORA DE 
FONDOS DE INVERSIÓN 
UNIVERSAL, S.A.","▪  No  mantener  el  oficial  de  cumplimiento  un  adecuado 
mantenimiento del registro anti-lavado, toda vez que durante 
el proceso de verificación de los contratos de vinculación, se 
observó que el total de la muestra seleccionada de veintiocho 
(28) expedientes de los clientes no contenían los documentos 
que sustentan el origen de los fondos; evidencia de Debida 
Diligencia y la Constancia de Verificación Inicial.","Sanción Cuantitativa y 
Cualitativa 
RD$100,000.00 
Amonestación escrita"
"R-SIV-2013-50-IV-S        
09/05/2013","ALPHA SOCIEDAD DE 
VALORES, S.A.","▪  Diferencia entre los valores presentados en el Estado de la 
Cartera en Custodia Mensual y el Balance General remitido 
por  el  puesto  de  bolsa  con  una  diferencia  de  DOP 
223,583,702.81. 
▪  Remisión tardía del balance de comprobación en fecha 30 de 
noviembre de 2012, a través del SERI, siendo la fecha límite 
para enviar el referido balance el día 15 de noviembre de 
2012. 
▪  Remisión errónea del Balance General Resumido Semestral 
en la cuenta 1.5.2.01.00.00.00.00.0 Rendimientos por cobrar 
Portafolio  de  Títulos  Valores  de  Deuda  para 
Comercialización (Portafolio TVD “T”) presentando una 
diferencia de DOP 4,717,821.41.","Sanción Cualitativa  y 
Cuantitativa 
Amonestación Verbal 
RD$200,000.00"
"R-CNV-2013-34-IV         
01/11/2013","ALPHA SOCIEDAD DE 
VALORES, S.A.","▪  Remisión inexacta de los valores correspondientes a los 
activos  y  operaciones  contingentes  presentado  una 
diferencia  de  DOP$2,149,600,613.02  en  la  Matriz  de 
Patrimonio y Garantía de Riegos e Índices.","Sanción Cuantitativa 
RD$50,000.00"
"R-SIV-2013-118-IV-S       
30/10/2013","ALPHA SOCIEDAD DE 
VALORES, S.A.","▪  Diferencia entre el Balance General Detallado y el Reporte 
de  los  Activos  y  Operaciones  Contingentes  Ponderados 
sobre la cuenta 1.9.1.06.01.00.00.00.0 de Valor de origen de 
licencias compradas.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2014-01-IV-R 
13/01/2014","ALPHA SOCIEDAD DE 
VALORES, S.A.","▪  Remisión incompleta del reporte de Cartera de Inversión al 
no incluir los puntos: 7. Contrato de compras de Futuro; 8. 
Contrato  de  ventas  de  Futuro;  9.  Inversiones  en  otras 
obligaciones  y  10:  Depósitos  y  Títulos  Valores  de 
Disponibilidad  Restringida,  de  acuerdo  al  formato 
establecido en la Resolución R-SIV-2011-011-IV. 
▪  Diferencia  entre  el  Valor  Nominal  Interino  y  el  Valor 
Nominal Auditado correspondiente a diciembre 2012, del 
punto 2. sobre Títulos Valores de Deuda.","Sanción Cualitativa  y 
Cuantitativa 
Amonestación Verbal 
RD$50,000.00"
"R-SIV-2014-04-IV-R        
24/01/2014","ALPHA SOCIEDAD DE 
VALORES, S.A.","▪  Remisión inexacta del reporte de los Activos  y Operaciones 
Contingentes  Ponderados,  respecto  al  cálculo  del valor","Sanción Cuantitativa 
RD$50,000.00"
"R-SIV-2014-15-IV-R        
06/06/2014","ALPHA SOCIEDAD DE 
VALORES, S.A.","▪  Diferencia  en  la  Tasa  de  Margen  de  la  operación  con 
valores representativos de deuda a largo plazo del Banco 
Central de la RD, de fecha 11 de septiembre 2013.","Sanción Cualitativa 
Amonestación Escrita"
